Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Ubah_Password_AngkaSaja;;Test module Profil mengubah password dengan data angka saja;23/03/2023 15:23;23/03/2023 15:23;52.180s;PASSED
;;;;;;
Test Cases/Profil/TC_Profil_Button;;Test case tap menu 'Akun';23/03/2023 15:23;23/03/2023 15:23;34.558s;PASSED
startApplication(APP, false);;;23/03/2023 15:23;23/03/2023 15:23;32.215s;PASSED
"tap(findTestObject(""Object Repository/Profil/Profil_Button/android.view.View"")";;Tap menu 'Akun';23/03/2023 15:23;23/03/2023 15:23;1.960s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Button;;Test case Profil tap tombol 'Ubah Password';23/03/2023 15:23;23/03/2023 15:23;3.870s;PASSED
swipe(100, 400, 0, 0);;;23/03/2023 15:23;23/03/2023 15:23;1.102s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Button/android.view.View"")";;"Tap tombol ""Ubah Password""";23/03/2023 15:23;23/03/2023 15:23;1.457s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;23/03/2023 15:23;23/03/2023 15:23;1.030s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordLama_Valid;;Test case input field 'Password Lama';23/03/2023 15:23;23/03/2023 15:23;2.543s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";;"Tap field ""Password Lama""";23/03/2023 15:23;23/03/2023 15:23;0.702s;PASSED
"setEncryptedText(findTestObject(""Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";" ""lsdNNXlVAZI=""";Input Password Lama dengan data yang valid;23/03/2023 15:23;23/03/2023 15:23;0.805s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.Button"")";;"Tap icon ""mata tertutup""";23/03/2023 15:23;23/03/2023 15:23;0.790s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordBaru_AngkaSaja;;Test case input field 'Password Baru' dengan karakter angka saja;23/03/2023 15:23;23/03/2023 15:23;5.905s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru"")";;Tap field 'Password Baru';23/03/2023 15:23;23/03/2023 15:23;0.633s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru (1)"")";" ""aeHFOx8jV/A=""";Input 'Password Baru' dengan data berkarakter angka saja;23/03/2023 15:23;23/03/2023 15:23;1.099s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button"")";;Tap icon 'Mata tertutup';23/03/2023 15:23;23/03/2023 15:23;0.779s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru"")";;Tap field 'Ketik Ulang Password Baru';23/03/2023 15:23;23/03/2023 15:23;1.680s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru (1)"")";" ""aeHFOx8jV/A=""";Input 'Ketik Ulang Password Baru' dengan data yang sama dengan 'Password Baru';23/03/2023 15:23;23/03/2023 15:23;0.381s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button (1)"")";;Tap icon 'Mata tertutup';23/03/2023 15:23;23/03/2023 15:23;1.059s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Submit;;"Test case tap tombol ""Simpan Perubahan"" pada laman Ubah Password";23/03/2023 15:23;23/03/2023 15:23;4.979s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button"")";;"Tap tombol ""Simpan Perubahan""";23/03/2023 15:23;23/03/2023 15:23;1.375s;PASSED
"verifyElementVisible(findTestObject(""Profil/Ubah_Password/Ubah_Password_Submit/android.view.View"")";;;23/03/2023 15:23;23/03/2023 15:23;0.183s;PASSED
"verifyMatch(""Kata sandi berhasil diperbaharui"", ""Kata sandi berhasil diperbaharui"")";;;23/03/2023 15:23;23/03/2023 15:23;0.009s;PASSED
delay(2, CONTINUE_ON_FAILURE);;;23/03/2023 15:23;23/03/2023 15:23;2.017s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button (1)"")";;"Tap tombol ""Tutup"" pada pop-up 'Password berhasil diperbaharui'";23/03/2023 15:23;23/03/2023 15:23;1.115s;PASSED
