Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Ubah_Password_Failed;;Test module profil gagal ubah password karena password lama tidak sesuai;23/03/2023 15:54;23/03/2023 15:55;43.540s;PASSED
;;;;;;
Test Cases/Profil/TC_Profil_Button;;Test case tap menu 'Akun';23/03/2023 15:54;23/03/2023 15:55;26.130s;PASSED
startApplication(APP, false);;;23/03/2023 15:54;23/03/2023 15:55;23.830s;PASSED
"tap(findTestObject(""Object Repository/Profil/Profil_Button/android.view.View"")";;Tap menu 'Akun';23/03/2023 15:55;23/03/2023 15:55;1.936s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Button;;Test case Profil tap tombol 'Ubah Password';23/03/2023 15:55;23/03/2023 15:55;3.973s;PASSED
swipe(100, 400, 0, 0);;;23/03/2023 15:55;23/03/2023 15:55;1.082s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Button/android.view.View"")";;"Tap tombol ""Ubah Password""";23/03/2023 15:55;23/03/2023 15:55;1.478s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;23/03/2023 15:55;23/03/2023 15:55;1.055s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordLama_Invalid;;Test case input field 'Password Lama' dengan data tidak valid;23/03/2023 15:55;23/03/2023 15:55;3.182s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";;"Tap field ""Password Lama""";23/03/2023 15:55;23/03/2023 15:55;0.684s;PASSED
"setEncryptedText(findTestObject(""Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";" ""WypC58UyQQPYI/WdHrNSTA==""";Input Password Lama dengan data yang tidak valid;23/03/2023 15:55;23/03/2023 15:55;0.817s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.Button"")";;"Tap icon ""mata tertutup""";23/03/2023 15:55;23/03/2023 15:55;1.390s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordBaru_Valid;;Test case input field 'Password Lama';23/03/2023 15:55;23/03/2023 15:55;6.575s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru"")";;Tap field 'Password Baru';23/03/2023 15:55;23/03/2023 15:55;0.476s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru (1)"")";" ""cVIwjfOa1J4=""";Input 'Password Baru' dengan data yang valid;23/03/2023 15:55;23/03/2023 15:55;1.131s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button"")";;Tap icon 'Mata tertutup';23/03/2023 15:55;23/03/2023 15:55;1.394s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru"")";;Tap field 'Ketik Ulang Password Baru';23/03/2023 15:55;23/03/2023 15:55;1.178s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru (1)"")";" ""cVIwjfOa1J4=""";Input 'Ketik Ulang Password Baru' dengan data yang sama dengan 'Password Baru';23/03/2023 15:55;23/03/2023 15:55;0.459s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button (1)"")";;Tap icon 'Mata tertutup';23/03/2023 15:55;23/03/2023 15:55;1.629s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_Submit_Failed;;Test case profil tap tombol 'Simpan Perubahan' dan gagal mengubah password;23/03/2023 15:55;23/03/2023 15:55;3.378s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Submit_Failed/android.widget.Button"")";;"Tap tombol ""Simpan Perubahan""";23/03/2023 15:55;23/03/2023 15:55;1.017s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;23/03/2023 15:55;23/03/2023 15:55;1.013s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Submit_Failed/android.widget.Button (1)"")";;"Tap tombol ""OK"" pada alert konfirmasi password lama tidak sesuai";23/03/2023 15:55;23/03/2023 15:55;1.025s;PASSED
