Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Ubah_Password_HurufSaja;;Test module Profil mengubah password dengan data huruf saja;23/03/2023 15:41;23/03/2023 15:42;50.750s;PASSED
;;;;;;
Test Cases/Profil/TC_Profil_Button;;Test case tap menu 'Akun';23/03/2023 15:41;23/03/2023 15:41;30.304s;PASSED
startApplication(APP;;;23/03/2023 15:41;23/03/2023 15:41;28.033s;PASSED
"tap(findTestObject(""Object Repository/Profil/Profil_Button/android.view.View"")";;Tap menu 'Akun';23/03/2023 15:41;23/03/2023 15:41;1.524s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Button;;Test case Profil tap tombol 'Ubah Password';23/03/2023 15:41;23/03/2023 15:41;4.470s;PASSED
swipe(100, 400, 0, 0);;;23/03/2023 15:41;23/03/2023 15:41;1.195s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Button/android.view.View"")";;"Tap tombol ""Ubah Password""";23/03/2023 15:41;23/03/2023 15:41;1.464s;PASSED
delay(1;;;23/03/2023 15:41;23/03/2023 15:41;1.071s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordLama_Valid;;Test case input field 'Password Lama';23/03/2023 15:41;23/03/2023 15:41;2.907s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";;"Tap field ""Password Lama""";23/03/2023 15:41;23/03/2023 15:41;0.777s;PASSED
"setEncryptedText(findTestObject(""Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";" ""lsdNNXlVAZI=""";Input Password Lama dengan data yang valid;23/03/2023 15:41;23/03/2023 15:41;0.930s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.Button"")";;"Tap icon ""mata tertutup""";23/03/2023 15:41;23/03/2023 15:41;0.816s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordBaru_HurufSaja;;Test case input field 'Password Baru' dengan karakter angka saja;23/03/2023 15:41;23/03/2023 15:41;6.750s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru"")";;Tap field 'Password Baru';23/03/2023 15:41;23/03/2023 15:41;0.637s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru (1)"")";" ""6Bq4HnJ3LgA=""";Input 'Password Baru' dengan data berkarakter huruf saja;23/03/2023 15:41;23/03/2023 15:41;1.235s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button"")";;Tap icon 'Mata tertutup';23/03/2023 15:41;23/03/2023 15:41;0.792s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru"")";;Tap field 'Ketik Ulang Password Baru';23/03/2023 15:41;23/03/2023 15:41;0.889s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru (1)"")";" ""6Bq4HnJ3LgA=""";Input 'Ketik Ulang Password Baru' dengan data yang sama dengan 'Password Baru';23/03/2023 15:41;23/03/2023 15:41;1.100s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button (1)"")";;Tap icon 'Mata tertutup';23/03/2023 15:41;23/03/2023 15:41;1.415s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Submit;;"Test case tap tombol ""Simpan Perubahan"" pada laman Ubah Password";23/03/2023 15:41;23/03/2023 15:42;5.653s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button"")";;"Tap tombol ""Simpan Perubahan""";23/03/2023 15:41;23/03/2023 15:41;1.256s;PASSED
"verifyElementVisible(findTestObject(""Profil/Ubah_Password/Ubah_Password_Submit/android.view.View"")";;;23/03/2023 15:41;23/03/2023 15:41;0.452s;PASSED
"verifyMatch(""Kata sandi berhasil diperbaharui"", ""Kata sandi berhasil diperbaharui"")";;;23/03/2023 15:41;23/03/2023 15:41;0.052s;PASSED
delay(2;;;23/03/2023 15:41;23/03/2023 15:42;2.023s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button (1)"")";;"Tap tombol ""Tutup"" pada pop-up 'Password berhasil diperbaharui'";23/03/2023 15:42;23/03/2023 15:42;1.274s;PASSED
