Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Ubah_Password_Min6;;Test module Profil mengubah password dengan data dibawah 6 karakter;23/03/2023 15:17;23/03/2023 15:17;41.851s;PASSED
;;;;;;
Test Cases/Profil/TC_Profil_Button;;Test case tap menu 'Akun';23/03/2023 15:17;23/03/2023 15:17;25.177s;PASSED
startApplication(APP;;;23/03/2023 15:17;23/03/2023 15:17;22.746s;PASSED
"tap(findTestObject(""Object Repository/Profil/Profil_Button/android.view.View"")";;Tap menu 'Akun';23/03/2023 15:17;23/03/2023 15:17;2.110s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Button;;Test case Profil tap tombol 'Ubah Password';23/03/2023 15:17;23/03/2023 15:17;3.861s;PASSED
swipe(100, 400, 0, 0);;;23/03/2023 15:17;23/03/2023 15:17;1.093s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Button/android.view.View"")";;"Tap tombol ""Ubah Password""";23/03/2023 15:17;23/03/2023 15:17;1.463s;PASSED
delay(1;;;23/03/2023 15:17;23/03/2023 15:17;1.028s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordLama_Valid;;Test case input field 'Password Lama';23/03/2023 15:17;23/03/2023 15:17;2.003s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";;"Tap field ""Password Lama""";23/03/2023 15:17;23/03/2023 15:17;0.633s;PASSED
"setEncryptedText(findTestObject(""Profil/Ubah_Password/Password_Lama/android.widget.EditText - Password lama"")";" ""lsdNNXlVAZI=""";Input Password Lama dengan data yang valid;23/03/2023 15:17;23/03/2023 15:17;0.311s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Lama/android.widget.Button"")";;"Tap icon ""mata tertutup""";23/03/2023 15:17;23/03/2023 15:17;0.786s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_PasswordBaru_Min6;;Test case input field 'Password Baru' dengan data dibawah 6 karakter;23/03/2023 15:17;23/03/2023 15:17;5.409s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru"")";;Tap field 'Password Baru';23/03/2023 15:17;23/03/2023 15:17;0.544s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Password baru (1)"")";" ""4qQFvqdikLY=""";Input 'Password Baru' dengan data dibawah 6 karakter;23/03/2023 15:17;23/03/2023 15:17;0.932s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button"")";;Tap icon 'Mata tertutup';23/03/2023 15:17;23/03/2023 15:17;1.368s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru"")";;Tap field 'Ketik Ulang Password Baru';23/03/2023 15:17;23/03/2023 15:17;0.389s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.EditText - Ketik ulang password baru (1)"")";" ""4qQFvqdikLY=""";Input 'Ketik Ulang Password Baru' dengan data yang sama dengan 'Password Baru';23/03/2023 15:17;23/03/2023 15:17;1.079s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Password_Baru/android.widget.Button (1)"")";;Tap icon 'Mata tertutup';23/03/2023 15:17;23/03/2023 15:17;0.766s;PASSED
;;;;;;
Test Cases/Profil/Ubah_Password/TC_UbahPassword_Submit;;"Test case tap tombol ""Simpan Perubahan"" pada laman Ubah Password";23/03/2023 15:17;23/03/2023 15:17;5.143s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button"")";;"Tap tombol ""Simpan Perubahan""";23/03/2023 15:17;23/03/2023 15:17;1.515s;PASSED
"verifyElementVisible(findTestObject(""Profil/Ubah_Password/Ubah_Password_Submit/android.view.View"")";;;23/03/2023 15:17;23/03/2023 15:17;0.188s;PASSED
"verifyMatch(""Kata sandi berhasil diperbaharui"", ""Kata sandi berhasil diperbaharui"")";;;23/03/2023 15:17;23/03/2023 15:17;0.012s;PASSED
delay(2;;;23/03/2023 15:17;23/03/2023 15:17;2.005s;PASSED
"tap(findTestObject(""Object Repository/Profil/Ubah_Password/Ubah_Password_Submit/android.widget.Button (1)"")";;"Tap tombol ""Tutup"" pada pop-up 'Password berhasil diperbaharui'";23/03/2023 15:17;23/03/2023 15:17;1.111s;PASSED
