Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_InvalidPassword_OnlyAlphabet;;Test modul register dengan format password huruf saja;20/03/2023 15:57;20/03/2023 15:58;1m - 7.711s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 15:57;20/03/2023 15:57;29.588s;PASSED
startApplication(APP, false);;;20/03/2023 15:57;20/03/2023 15:57;25.641s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 15:57;20/03/2023 15:57;1.287s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 15:57;20/03/2023 15:57;1.147s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 15:57;20/03/2023 15:57;1.053s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);20/03/2023 15:57;20/03/2023 15:57;2.635s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';20/03/2023 15:57;20/03/2023 15:57;0.714s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;20/03/2023 15:57;20/03/2023 15:57;1.530s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;20/03/2023 15:57;20/03/2023 15:57;2.137s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 15:57;20/03/2023 15:57;1.404s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;20/03/2023 15:57;20/03/2023 15:57;0.454s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_InvalidPassword (Alphabet Only);;Test case dengan format password yang salah;20/03/2023 15:57;20/03/2023 15:58;6.856s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Alphabet Only)/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 15:57;20/03/2023 15:57;1.387s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Alphabet Only)/android.widget.EditText - Password (1)"")";" ""2Ch3tCa/S0s=""";Input Password dengan format yang salah (hanya huruf saja);20/03/2023 15:57;20/03/2023 15:57;0.865s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Alphabet Only)/android.widget.Button"")";;Tap icon 'Mata tertutup';20/03/2023 15:57;20/03/2023 15:58;1.282s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Alphabet Only)/android.widget.EditText - Ketik Ulang Password"")";;Tap field 'Konfirmasi Password';20/03/2023 15:58;20/03/2023 15:58;1.725s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Alphabet Only)/android.widget.EditText - Ketik Ulang Password (1)"")";" ""2Ch3tCa/S0s=""";Input Konfirmasi Password sama dengan field Password;20/03/2023 15:58;20/03/2023 15:58;0.528s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Alphabet Only)/android.widget.Button (1)"")";;Tap icon 'Mata tertutup';20/03/2023 15:58;20/03/2023 15:58;0.769s;PASSED
;;;;;;
Test Cases/Register/Address/TC_Register_ValidAddress;;Test case register dengan Alamat yang valid (Minimal 10 karakter);20/03/2023 15:58;20/03/2023 15:58;12.051s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman"")";;Tap field 'Alamat Pengiriman';20/03/2023 15:58;20/03/2023 15:58;0.468s;PASSED
"setText(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman (1)"")";" ""Jl. yang ada di Kedaung""";Input format Alamat yang valid (minimal 10 karakter);20/03/2023 15:58;20/03/2023 15:58;1.187s;PASSED
hideKeyboard();;;20/03/2023 15:58;20/03/2023 15:58;1.490s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View"")";;Tap dropdown 'Provinsi';20/03/2023 15:58;20/03/2023 15:58;1.118s;PASSED
