Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_InvalidPassword_OnlyNumber;;Test modul register dengan format password angka saja;20/03/2023 16:02;20/03/2023 16:03;1m - 27.155s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 16:02;20/03/2023 16:02;27.839s;PASSED
startApplication(APP, false);;;20/03/2023 16:02;20/03/2023 16:02;24.088s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 16:02;20/03/2023 16:02;1.200s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 16:02;20/03/2023 16:02;1.117s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 16:02;20/03/2023 16:02;1.044s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);20/03/2023 16:02;20/03/2023 16:02;2.526s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';20/03/2023 16:02;20/03/2023 16:02;0.715s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;20/03/2023 16:02;20/03/2023 16:02;1.514s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;20/03/2023 16:02;20/03/2023 16:02;2.175s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 16:02;20/03/2023 16:02;1.418s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;20/03/2023 16:02;20/03/2023 16:02;0.484s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_InvalidPassword (Number Only);;Test case dengan format password yang salah;20/03/2023 16:02;20/03/2023 16:02;5.825s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_InvalidPassword (Number Only)/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 16:02;20/03/2023 16:02;1.408s;PASSED
