Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_Invalid_ConfirmPassword;;Test module register dengan konfirmasi password yang berbeda dengan password;20/03/2023 16:04;20/03/2023 16:05;1m - 20.580s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 16:04;20/03/2023 16:04;36.606s;PASSED
startApplication(APP, false);;;20/03/2023 16:04;20/03/2023 16:04;32.847s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 16:04;20/03/2023 16:04;1.217s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 16:04;20/03/2023 16:04;1.094s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 16:04;20/03/2023 16:04;1.044s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);20/03/2023 16:04;20/03/2023 16:04;2.391s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';20/03/2023 16:04;20/03/2023 16:04;1.596s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;20/03/2023 16:04;20/03/2023 16:04;0.455s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;20/03/2023 16:04;20/03/2023 16:04;2.135s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 16:04;20/03/2023 16:04;1.388s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;20/03/2023 16:04;20/03/2023 16:04;0.422s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Invalid_ConfirmPassword;;Test case dengan format konfirmasi password yang tidak sesuai dengan password;20/03/2023 16:04;20/03/2023 16:04;6.316s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_Invalid_ConfirmPassword/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 16:04;20/03/2023 16:04;1.330s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_Invalid_ConfirmPassword/android.widget.EditText - Password (1)"")";" ""lsdNNXlVAZI=""";Input Password dengan format yang valid;20/03/2023 16:04;20/03/2023 16:04;0.412s;PASSED
