Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_Invalid_Email;;;20/03/2023 13:57;20/03/2023 13:58;1m - 12.448s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 13:57;20/03/2023 13:57;37.521s;PASSED
startApplication(APP;;;20/03/2023 13:57;20/03/2023 13:57;33.478s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 13:57;20/03/2023 13:57;1.570s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 13:57;20/03/2023 13:57;1.078s;PASSED
delay(1;;;20/03/2023 13:57;20/03/2023 13:57;1.050s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);20/03/2023 13:57;20/03/2023 13:57;2.373s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';20/03/2023 13:57;20/03/2023 13:57;1.618s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;20/03/2023 13:57;20/03/2023 13:57;0.477s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_InvalidEmail;;Test case dengan email yang tidak valid;20/03/2023 13:57;20/03/2023 13:57;2.139s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_InvalidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 13:57;20/03/2023 13:57;1.439s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_InvalidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan.ymail.com""";Input format Email secara tidak valid;20/03/2023 13:57;20/03/2023 13:57;0.436s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_ValidPassword;;Test case dengan format password yang valid;20/03/2023 13:57;20/03/2023 13:58;6.804s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 13:57;20/03/2023 13:57;1.347s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password (1)"")";" ""lsdNNXlVAZI=""";Input Password dengan format yang valid;20/03/2023 13:57;20/03/2023 13:58;0.916s;PASSED
