Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_Invalid_Name;;Test module Register dengan format nama yang salah (dibawah 3 karakter);20/03/2023 14:49;20/03/2023 14:50;1m - 0.395s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 14:49;20/03/2023 14:50;27.769s;PASSED
startApplication(APP, false);;;20/03/2023 14:49;20/03/2023 14:50;24.130s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 14:50;20/03/2023 14:50;1.199s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 14:50;20/03/2023 14:50;1.079s;PASSED
delay(1; CONTINUE_ON_FAILURE);;20/03/2023 14:50;20/03/2023 14:50;1.036s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_InvalidName;;Test case register dengan requirement nama yang salah (di bawah 3 karakter);20/03/2023 14:50;20/03/2023 14:50;2.266s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_InvalidName/android.widget.EditText - Nama"")";;Tap field Nama;20/03/2023 14:50;20/03/2023 14:50;1.564s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_InvalidName/android.widget.EditText - Nama (1)"")";" ""si""";Input Nama di bawah 3 karakter;20/03/2023 14:50;20/03/2023 14:50;0.446s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;20/03/2023 14:50;20/03/2023 14:50;2.053s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 14:50;20/03/2023 14:50;1.429s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;20/03/2023 14:50;20/03/2023 14:50;0.371s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_ValidPassword;;Test case dengan format password yang valid;20/03/2023 14:50;20/03/2023 14:50;6.375s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 14:50;20/03/2023 14:50;1.610s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password (1)"")";" ""lsdNNXlVAZI=""";Input Password dengan format yang valid;20/03/2023 14:50;20/03/2023 14:50;0.423s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.Button"")";;Tap icon 'Mata tertutup' pada field Password;20/03/2023 14:50;20/03/2023 14:50;0.781s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Ketik Ulang Password"")";;Tap 'Konfirmasi Password';20/03/2023 14:50;20/03/2023 14:50;0.941s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Ketik Ulang Password (1)"")";" ""lsdNNXlVAZI=""";Input Konfirmasi Password yang sesuai dengan Password yang telah diinput;20/03/2023 14:50;20/03/2023 14:50;1.146s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.Button (1)"")";;Tap icon 'Mata tertutup' pada field Konfirmasi Password;20/03/2023 14:50;20/03/2023 14:50;1.220s;PASSED
;;;;;;
Test Cases/Register/Address/TC_Register_ValidAddress;;Test case register dengan Alamat yang valid (Minimal 10 karakter);20/03/2023 14:50;20/03/2023 14:50;11.736s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman"")";;Tap field 'Alamat Pengiriman';20/03/2023 14:50;20/03/2023 14:50;0.672s;PASSED
"setText(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman (1)"")";" ""Jl. yang ada di Kedaung""";Input format Alamat yang valid (minimal 10 karakter);20/03/2023 14:50;20/03/2023 14:50;1.171s;PASSED
hideKeyboard();;;20/03/2023 14:50;20/03/2023 14:50;1.448s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View"")";;Tap dropdown 'Provinsi';20/03/2023 14:50;20/03/2023 14:50;1.101s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (1)"")";;Pilih salah satu 'Provinsi';20/03/2023 14:50;20/03/2023 14:50;0.966s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (2)"")";;Tap dropdown 'Kota';20/03/2023 14:50;20/03/2023 14:50;1.028s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (3)"")";;Pilih salah satu 'Kota';20/03/2023 14:50;20/03/2023 14:50;0.968s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.Button"")";;Tap dropdown 'Kecamatan';20/03/2023 14:50;20/03/2023 14:50;1.141s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (4)"")";;Pilih salah satu 'Kecamatan';20/03/2023 14:50;20/03/2023 14:50;0.963s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (5)"")";;Tap dropdown 'Kelurahan';20/03/2023 14:50;20/03/2023 14:50;1.027s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (6)"")";;Pilih salah satu 'Kelurahan';20/03/2023 14:50;20/03/2023 14:50;0.949s;PASSED
;;;;;;
Test Cases/Register/Phone_Number/TC_Register_ValidPhone;;Test case register dengan nomor HP yang valid;20/03/2023 14:50;20/03/2023 14:50;7.082s;PASSED
swipe(100, 400, 0, 0);;;20/03/2023 14:50;20/03/2023 14:50;1.053s;PASSED
"tap(findTestObject(""Object Repository/Register/Phone_Number/Valid_Phone_Number/android.widget.EditText - Nomor Handphone"")";;Tap field 'Nomor Handphone';20/03/2023 14:50;20/03/2023 14:50;0.438s;PASSED
"setText(findTestObject(""Object Repository/Register/Phone_Number/Valid_Phone_Number/android.widget.EditText - Nomor Handphone (1)"")";" ""085817746351""";Input nomor HP yang valid;20/03/2023 14:50;20/03/2023 14:50;1.283s;PASSED
hideKeyboard();;;20/03/2023 14:50;20/03/2023 14:50;3.102s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 14:50;20/03/2023 14:50;1.018s;PASSED
;;;;;;
Test Cases/Register/Register_Submit;;Test case tap tombol 'Daftar' setelah mengisi form 'Register';20/03/2023 14:50;20/03/2023 14:50;1.011s;PASSED
"tap(findTestObject(""Object Repository/Register/Submit_Failed/android.widget.Button"")";;Tap tombol 'Daftar' setelah mengisi form Register;20/03/2023 14:50;20/03/2023 14:50;0.784s;PASSED
;;;;;;
