Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_Invalid_Phone;;Test module register dengan nomor handphone yang tidak valid;20/03/2023 14:54;20/03/2023 14:54;57.802s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 14:54;20/03/2023 14:54;26.561s;PASSED
startApplication(APP, false);;;20/03/2023 14:54;20/03/2023 14:54;22.954s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 14:54;20/03/2023 14:54;1.056s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 14:54;20/03/2023 14:54;1.089s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 14:54;20/03/2023 14:54;1.035s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);20/03/2023 14:54;20/03/2023 14:54;2.276s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';20/03/2023 14:54;20/03/2023 14:54;1.586s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;20/03/2023 14:54;20/03/2023 14:54;0.437s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;20/03/2023 14:54;20/03/2023 14:54;2.121s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 14:54;20/03/2023 14:54;1.395s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;20/03/2023 14:54;20/03/2023 14:54;0.408s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_ValidPassword;;Test case dengan format password yang valid;20/03/2023 14:54;20/03/2023 14:54;6.921s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 14:54;20/03/2023 14:54;1.435s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password (1)"")";" ""lsdNNXlVAZI=""";Input Password dengan format yang valid;20/03/2023 14:54;20/03/2023 14:54;0.408s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.Button"")";;Tap icon 'Mata tertutup' pada field Password;20/03/2023 14:54;20/03/2023 14:54;0.790s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Ketik Ulang Password"")";;Tap 'Konfirmasi Password';20/03/2023 14:54;20/03/2023 14:54;0.984s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Ketik Ulang Password (1)"")";" ""lsdNNXlVAZI=""";Input Konfirmasi Password yang sesuai dengan Password yang telah diinput;20/03/2023 14:54;20/03/2023 14:54;1.187s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.Button (1)"")";;Tap icon 'Mata tertutup' pada field Konfirmasi Password;20/03/2023 14:54;20/03/2023 14:54;1.867s;PASSED
;;;;;;
Test Cases/Register/Address/TC_Register_ValidAddress;;Test case register dengan Alamat yang valid (Minimal 10 karakter);20/03/2023 14:54;20/03/2023 14:54;10.971s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman"")";;Tap field 'Alamat Pengiriman';20/03/2023 14:54;20/03/2023 14:54;0.385s;PASSED
"setText(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman (1)"")";" ""Jl. yang ada di Kedaung""";Input format Alamat yang valid (minimal 10 karakter);20/03/2023 14:54;20/03/2023 14:54;1.120s;PASSED
hideKeyboard();;;20/03/2023 14:54;20/03/2023 14:54;1.204s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View"")";;Tap dropdown 'Provinsi';20/03/2023 14:54;20/03/2023 14:54;1.149s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (1)"")";;Pilih salah satu 'Provinsi';20/03/2023 14:54;20/03/2023 14:54;0.961s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (2)"")";;Tap dropdown 'Kota';20/03/2023 14:54;20/03/2023 14:54;0.998s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (3)"")";;Pilih salah satu 'Kota';20/03/2023 14:54;20/03/2023 14:54;0.950s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.Button"")";;Tap dropdown 'Kecamatan';20/03/2023 14:54;20/03/2023 14:54;1.161s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (4)"")";;Pilih salah satu 'Kecamatan';20/03/2023 14:54;20/03/2023 14:54;0.923s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (5)"")";;Tap dropdown 'Kelurahan';20/03/2023 14:54;20/03/2023 14:54;0.982s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.view.View (6)"")";;Pilih salah satu 'Kelurahan';20/03/2023 14:54;20/03/2023 14:54;0.947s;PASSED
;;;;;;
Test Cases/Register/Phone_Number/TC_Register_InvalidPhone;;Test case register dengan nomor HP yang tidak valid;20/03/2023 14:54;20/03/2023 14:54;6.497s;PASSED
swipe(100, 400, 0, 0);;;20/03/2023 14:54;20/03/2023 14:54;1.039s;PASSED
"tap(findTestObject(""Object Repository/Register/Phone_Number/Invalid_Phone_Number/android.widget.EditText - Nomor Handphone (1)"")";;"Tap field ""Nomor Handphone""";20/03/2023 14:54;20/03/2023 14:54;0.359s;PASSED
"setText(findTestObject(""Object Repository/Register/Phone_Number/Invalid_Phone_Number/android.widget.EditText - Nomor Handphone (2)"")";" ""123456789""";Input nomor handphone dengan format yang salah;20/03/2023 14:54;20/03/2023 14:54;1.326s;PASSED
hideKeyboard();;;20/03/2023 14:54;20/03/2023 14:54;2.556s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 14:54;20/03/2023 14:54;1.012s;PASSED
;;;;;;
Test Cases/Register/Register_Submit;;Test case tap tombol 'Daftar' setelah mengisi form 'Register';20/03/2023 14:54;20/03/2023 14:54;1.414s;PASSED
"tap(findTestObject(""Object Repository/Register/Submit_Failed/android.widget.Button"")";;Tap tombol 'Daftar' setelah mengisi form Register;20/03/2023 14:54;20/03/2023 14:54;1.181s;PASSED
;;;;;;
Test Cases/Register/Phone_Number/TC_Verify_Invalid_Phone;;"Pastikan muncul alert ""Nomor telpon yang anda masukkan tidak valid""";20/03/2023 14:54;20/03/2023 14:54;0.729s;PASSED
"getText(findTestObject(""Object Repository/Register/Phone_Number/Verify_Invalid_PhoneNumber/android.view.View"")";;;20/03/2023 14:54;20/03/2023 14:54;0.259s;PASSED
"verifyElementVisible(findTestObject(""Object Repository/Register/Phone_Number/Verify_Invalid_PhoneNumber/android.view.View"")";;;20/03/2023 14:54;20/03/2023 14:54;0.234s;PASSED
"verifyMatch(""Nomor telpon yang anda masukkan tidak valid""";" ""Nomor telpon yang anda masukkan tidak valid""";"Pastikan muncul alert ""Nomor telpon yang anda masukkan tidak valid""";20/03/2023 14:54;20/03/2023 14:54;0.009s;PASSED
