Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_Less_MinPassword;;Test module register dengan format password kurang dari 6 karakter;20/03/2023 16:09;20/03/2023 16:10;1m - 6.846s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;20/03/2023 16:09;20/03/2023 16:09;30.103s;PASSED
startApplication(APP, false);;;20/03/2023 16:09;20/03/2023 16:09;26.281s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;20/03/2023 16:09;20/03/2023 16:09;1.297s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;20/03/2023 16:09;20/03/2023 16:09;1.113s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;20/03/2023 16:09;20/03/2023 16:09;1.038s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);20/03/2023 16:09;20/03/2023 16:09;2.128s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';20/03/2023 16:09;20/03/2023 16:09;0.667s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;20/03/2023 16:09;20/03/2023 16:09;1.232s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;20/03/2023 16:09;20/03/2023 16:09;2.131s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';20/03/2023 16:09;20/03/2023 16:09;1.478s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;20/03/2023 16:09;20/03/2023 16:09;0.423s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_LessPassword;;Test case register input password kurang dari 6 karakter;20/03/2023 16:09;20/03/2023 16:09;5.931s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_LessPassword/android.widget.EditText - Password"")";;Tap field 'Password';20/03/2023 16:09;20/03/2023 16:09;1.480s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_LessPassword/android.widget.EditText - Password (1)"")";" ""yVvBGCXjhlM=""";Input Password dibawah 6 karakter;20/03/2023 16:09;20/03/2023 16:09;0.402s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_LessPassword/android.widget.Button"")";;Tap icon 'Mata tertutup';20/03/2023 16:09;20/03/2023 16:09;1.455s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_LessPassword/android.widget.EditText - Ketik Ulang Password"")";;Tap field 'Konfirmasi Password';20/03/2023 16:09;20/03/2023 16:09;0.402s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_LessPassword/android.widget.EditText - Ketik Ulang Password (1)"")";" ""yVvBGCXjhlM=""";Input Konfirmasi Password sama dengan field Password;20/03/2023 16:09;20/03/2023 16:09;1.180s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_LessPassword/android.widget.Button (1)"")";;Tap icon 'Mata tertutup';20/03/2023 16:09;20/03/2023 16:09;0.780s;PASSED
;;;;;;
Test Cases/Register/Address/TC_Register_ValidAddress;;Test case register dengan Alamat yang valid (Minimal 10 karakter);20/03/2023 16:09;20/03/2023 16:10;12.725s;PASSED
"tap(findTestObject(""Object Repository/Register/Address/Register_ValidAddress/android.widget.EditText - Alamat Pengiriman"")";;Tap field 'Alamat Pengiriman';20/03/2023 16:09;20/03/2023 16:09;0.644s;PASSED
