Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
Register_Taken_Phone;;Test module Register Input Nomor Handphone yang sudah terdaftar;21/03/2023 10:55;21/03/2023 10:56;1m - 19.683s;PASSED
;;;;;;
Test Cases/Register/Redirect_to_RegisterPage;;Test case register, redirect to register page;21/03/2023 10:55;21/03/2023 10:55;39.188s;PASSED
startApplication(APP, false);;;21/03/2023 10:55;21/03/2023 10:55;35.381s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.view.View"")";;Tap menu Akun;21/03/2023 10:55;21/03/2023 10:55;1.193s;PASSED
"tap(findTestObject(""Object Repository/Register/Redirect_To_RegisterPage/android.widget.Button"")";;Tap tombol Register;21/03/2023 10:55;21/03/2023 10:55;1.099s;PASSED
delay(1, CONTINUE_ON_FAILURE);;;21/03/2023 10:55;21/03/2023 10:55;1.043s;PASSED
;;;;;;
Test Cases/Register/Name/TC_Register_ValidName;;Test case register dengan format nama yang valid (minimal 3 karakter);21/03/2023 10:55;21/03/2023 10:55;2.558s;PASSED
"tap(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama"")";;Tap field 'Nama';21/03/2023 10:55;21/03/2023 10:55;0.753s;PASSED
"setText(findTestObject(""Object Repository/Register/Name/Register_ValidName/android.widget.EditText - Nama (1)"")";" ""raihan""";Input Nama minimal 3 karakter;21/03/2023 10:55;21/03/2023 10:55;1.459s;PASSED
;;;;;;
Test Cases/Register/Email/TC_Register_ValidEmail;;Test case dengan email yang valid;21/03/2023 10:55;21/03/2023 10:55;2.188s;PASSED
"tap(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email"")";;Tap field 'Email';21/03/2023 10:55;21/03/2023 10:55;1.516s;PASSED
"setText(findTestObject(""Object Repository/Register/Email/Register_ValidEmail/android.widget.EditText - Alamat Email (1)"")";" ""sulthanraihan@ymail.com""";Input format Email yang valid;21/03/2023 10:55;21/03/2023 10:55;0.423s;PASSED
;;;;;;
Test Cases/Register/Password/TC_Register_ValidPassword;;Test case dengan format password yang valid;21/03/2023 10:55;21/03/2023 10:56;6.450s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password"")";;Tap field 'Password';21/03/2023 10:55;21/03/2023 10:55;1.439s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Password (1)"")";" ""lsdNNXlVAZI=""";Input Password dengan format yang valid;21/03/2023 10:55;21/03/2023 10:55;0.452s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.Button"")";;Tap icon 'Mata tertutup' pada field Password;21/03/2023 10:55;21/03/2023 10:55;0.810s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Ketik Ulang Password"")";;Tap 'Konfirmasi Password';21/03/2023 10:55;21/03/2023 10:55;1.013s;PASSED
"setEncryptedText(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.EditText - Ketik Ulang Password (1)"")";" ""lsdNNXlVAZI=""";Input Konfirmasi Password yang sesuai dengan Password yang telah diinput;21/03/2023 10:55;21/03/2023 10:56;1.699s;PASSED
"tap(findTestObject(""Object Repository/Register/Password/Register_ValidPassword/android.widget.Button (1)"")";;Tap icon 'Mata tertutup' pada field Konfirmasi Password;21/03/2023 10:56;21/03/2023 10:56;0.779s;PASSED
;;;;;;
