Suite/Test/Step Name;Browser;Description;Start time;End time;Duration;Status
ResetPassword_ValidEmail;;Test module reset password dengan email yang terdaftar;17/03/2023 16:38;17/03/2023 16:39;39.459s;PASSED
;;;;;;
Test Cases/Lupa_Password/TC_ResetPassword_ValidEmail;;Test case reset password dengan email yang terdaftar;17/03/2023 16:38;17/03/2023 16:39;39.179s;PASSED
startApplication(APP, false);;;17/03/2023 16:38;17/03/2023 16:38;25.798s;PASSED
"tap(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.view.View"")";;Tap menu Akun;17/03/2023 16:38;17/03/2023 16:38;1.076s;PASSED
"tap(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.widget.Button"")";;Tap tombol 'Lupa Password?';17/03/2023 16:38;17/03/2023 16:38;1.153s;PASSED
"tap(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.widget.Button (1)"")";;Tap tombol 'Kirim Link Reset';17/03/2023 16:38;17/03/2023 16:38;0.930s;PASSED
"tap(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.view.View (1)"")";;Tap field Email untuk Reset Password;17/03/2023 16:38;17/03/2023 16:38;0.259s;PASSED
"setText(findTestObject(""Lupa_Password/ValidEmail/android.view.View (1)"")";" ""raihansulthan4@gmail.com""";;17/03/2023 16:38;17/03/2023 16:38;1.049s;PASSED
"setText(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.widget.EditText - Masukkan alamat Email yang terdaftar di KLIK INDOGROSIRAlamat Email"")";" ""raihansulthan4@gmail.com""";Input email yang terdaftar;17/03/2023 16:38;17/03/2023 16:38;0.621s;PASSED
"tap(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.widget.Button (2)"")";;Tap tombol 'Kirim Link Reset';17/03/2023 16:38;17/03/2023 16:38;1.320s;PASSED
delay(4,  OPTIONAL);;;17/03/2023 16:38;17/03/2023 16:39;4.043s;PASSED
"tap(findTestObject(""Object Repository/Lupa_Password/ValidEmail/android.widget.Button (3)"")";;Tap tombol 'Ok' pada pop-up konfirmasi kirim email reset password;17/03/2023 16:39;17/03/2023 16:39;0.366s;PASSED
delay(2, OPTIONAL);;;17/03/2023 16:39;17/03/2023 16:39;2.004s;PASSED
